"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.7999811572160831
2 0.5321777573815922
3 0.3768445141743361
4 0.2952849520572401
5 0.2533147250328406
6 0.2302460291087065
7 0.2164636554071195
8 0.2070014621045856
9 0.2003941699416337
10 0.195267438459244
11 0.1913456725032729
12 0.1880997824003805
13 0.1855241889772901
14 0.1833378668352521
15 0.1815478682243258
16 0.1800126589275502
17 0.1787255293928283
18 0.1776164451599624
19 0.1766668048213498
20 0.1758501119343328
21 0.1751457339280568
22 0.1745360181568353
23 0.1740056321923162
24 0.1735435283667512
25 0.1731405779348533
26 0.1727889225304456
27 0.1724817461984563
28 0.1722131775450216
29 0.1719781376164847
30 0.1717722354728105
31 0.1715917468734874
32 0.1714333861306034
33 0.1712943863509817
34 0.1711723938193401
35 0.1710656013391966
36 0.1709723057574008
37 0.1708903691179424
38 0.170816870803701
39 0.1707538883300615
40 0.170698176656346
41 0.1706504226548766
42 0.1706064891923827
43 0.170569122082166
44 0.1705365928643912
45 0.1705076970134364
46 0.170482544461124
47 0.1704605937375597
48 0.1704412447053267
49 0.170424126670395
50 0.1704092975899288
51 0.1703964019206412
52 0.1703851338665026
53 0.1703752709248846
54 0.1703666559542047
55 0.1703591431594494
56 0.17035259710225
57 0.1703468957108655
58 0.1703419306374158
59 0.170337608977243
60 0.1703338538898693
61 0.1703305932197576
62 0.1703277648399971
63 0.1703253152543582
64 0.170323207054094
65 0.1703213930570774
66 0.170319821814687
67 0.1703184640713014
68 0.1703172949505416
69 0.1703162904316955
70 0.1703154287092412
71 0.1703146907194322
72 0.1703140598641261
73 0.1703135216768069
74 0.1703130922983618
75 0.1703126784371479
76 0.1703123486410287
77 0.1703120654030842
78 0.1703118325718876
79 0.1703116351190519
80 0.170311470507764
81 0.1703113329476024
82 0.1703112186140824
83 0.170311123938427
84 0.1703110458075811
85 0.170310981578856
86 0.1703109290934067
87 0.1703108891453453
88 0.1703108528563499
89 0.1703108261378419
90 0.1703108042522259
91 0.1703107866382502
92 0.1703107726141827
93 0.170310762012393
94 0.1703107544163665
95 0.1703107484139438
96 0.1703107433303147
97 0.1703107398159701
98 0.170310737467841
99 0.1703107354331971
100 0.1703107339747033
101 0.1703107330158933
