Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1665739930958,8396.0,-296.0,528.0
1,1665739930959,8672.0,-56.0,716.0
2,1665739930959,8192.0,-376.0,644.0
3,1665739930959,8600.0,136.0,764.0
4,1665739930959,8672.0,-160.0,756.0
5,1665739930959,8660.0,-196.0,828.0
6,1665739930959,8516.0,-128.0,772.0
7,1665739930959,8820.0,-260.0,652.0
8,1665739930960,8368.0,-80.0,712.0
9,1665739930962,8560.0,-420.0,592.0
10,1665739930965,8704.0,-128.0,692.0
11,1665739930966,8176.0,180.0,800.0
12,1665739930976,8448.0,-96.0,668.0
13,1665739930976,8484.0,-204.0,560.0
14,1665739930976,8360.0,92.0,696.0
15,1665739930976,8244.0,-240.0,776.0
16,1665739930977,8504.0,-28.0,712.0
17,1665739930981,8408.0,-156.0,856.0
18,1665739930981,8436.0,-220.0,748.0
19,1665739930985,8516.0,-236.0,636.0
20,1665739930987,8136.0,96.0,636.0
21,1665739930989,8592.0,-224.0,728.0
22,1665739930991,8236.0,-412.0,724.0
23,1665739930995,8624.0,-96.0,864.0
24,1665739930996,8624.0,-344.0,612.0
25,1665739930998,8524.0,-76.0,808.0
26,1665739931000,8352.0,-188.0,756.0
27,1665739931002,8748.0,-636.0,916.0
28,1665739931004,8740.0,312.0,632.0
29,1665739931008,8216.0,-180.0,608.0
30,1665739931009,8348.0,-328.0,792.0
31,1665739931011,8452.0,32.0,836.0
32,1665739931013,8592.0,-324.0,680.0
33,1665739931015,8392.0,24.0,536.0
34,1665739931019,8572.0,96.0,816.0
35,1665739931020,8472.0,-228.0,804.0
36,1665739931022,8568.0,-320.0,728.0
37,1665739931024,8444.0,236.0,776.0
38,1665739931026,8276.0,-152.0,388.0
39,1665739931030,8560.0,-120.0,852.0
40,1665739931031,8384.0,-228.0,940.0
41,1665739931032,8308.0,-212.0,536.0
42,1665739931034,8452.0,-200.0,868.0
43,1665739931038,8372.0,-464.0,644.0
44,1665739931039,8740.0,-120.0,652.0
45,1665739931041,8352.0,-252.0,760.0
46,1665739931044,8692.0,-44.0,868.0
47,1665739931045,8244.0,-256.0,632.0
48,1665739931048,8380.0,-8.0,772.0
49,1665739931052,8200.0,-168.0,712.0
50,1665739931053,8532.0,-72.0,756.0
51,1665739931055,8404.0,-152.0,856.0
52,1665739931057,8336.0,-132.0,684.0
53,1665739931060,8424.0,-248.0,556.0
54,1665739931062,8532.0,108.0,976.0
55,1665739931064,8268.0,176.0,764.0
56,1665739931066,8052.0,-32.0,876.0
57,1665739931068,8900.0,-496.0,884.0
58,1665739931070,8324.0,-264.0,596.0
59,1665739931073,8436.0,60.0,792.0
60,1665739931075,8588.0,-108.0,1096.0
61,1665739931076,8276.0,-188.0,712.0
62,1665739931079,8668.0,8.0,788.0
63,1665739931081,8564.0,-608.0,820.0
64,1665739931083,8304.0,-208.0,752.0
65,1665739931086,8276.0,-260.0,740.0
66,1665739931088,8732.0,-96.0,876.0
67,1665739931089,8404.0,-460.0,704.0
68,1665739931093,8676.0,36.0,872.0
69,1665739931093,8756.0,104.0,816.0
70,1665739931096,8296.0,-252.0,592.0
71,1665739931099,8716.0,-112.0,996.0
72,1665739931101,8380.0,-168.0,636.0
73,1665739931103,8300.0,64.0,712.0
74,1665739931105,8524.0,-108.0,688.0
75,1665739931108,8536.0,-100.0,764.0
76,1665739931110,8416.0,-144.0,820.0
77,1665739931112,8556.0,-224.0,792.0
78,1665739931114,8564.0,-108.0,780.0
79,1665739931116,8232.0,20.0,592.0
80,1665739931119,8540.0,-160.0,736.0
81,1665739931121,8508.0,-312.0,852.0
82,1665739931123,8572.0,-528.0,820.0
83,1665739931125,8364.0,-508.0,628.0
84,1665739931127,8508.0,24.0,836.0
85,1665739931130,8260.0,-44.0,728.0
86,1665739931132,8616.0,-360.0,764.0
87,1665739931133,8272.0,-148.0,692.0
88,1665739931135,8480.0,-336.0,704.0
89,1665739931139,8504.0,152.0,640.0
90,1665739931140,8268.0,-140.0,828.0
91,1665739931143,8608.0,-360.0,656.0
92,1665739931145,8624.0,116.0,600.0
93,1665739931147,8480.0,100.0,636.0
94,1665739931149,8176.0,48.0,552.0
95,1665739931151,8332.0,28.0,584.0
96,1665739931154,8748.0,-324.0,612.0
97,1665739931156,8376.0,-144.0,692.0
98,1665739931158,8312.0,-8.0,672.0
99,1665739931160,8464.0,-184.0,800.0
100,1665739931162,8420.0,-164.0,736.0
101,1665739931165,8748.0,48.0,760.0
102,1665739931167,8392.0,-420.0,692.0
103,1665739931168,8488.0,4.0,716.0
104,1665739931171,8584.0,-68.0,816.0
105,1665739931173,8456.0,-328.0,496.0
106,1665739931177,8404.0,-100.0,744.0
107,1665739931178,8808.0,-432.0,852.0
108,1665739931180,8460.0,-388.0,580.0
109,1665739931182,8500.0,-28.0,792.0
110,1665739931186,8612.0,108.0,764.0
111,1665739931187,8484.0,192.0,820.0
112,1665739931189,8472.0,-268.0,616.0
113,1665739931191,8380.0,-232.0,740.0
114,1665739931193,8428.0,-288.0,564.0
115,1665739931195,8548.0,56.0,892.0
116,1665739931198,8712.0,-128.0,872.0
117,1665739931200,8408.0,-204.0,644.0
118,1665739931203,8532.0,-180.0,700.0
119,1665739931204,8960.0,76.0,944.0
120,1665739931206,8160.0,-460.0,388.0
121,1665739931209,8544.0,88.0,776.0
122,1665739931211,8540.0,-564.0,740.0
123,1665739931213,8456.0,-148.0,604.0
124,1665739931216,8480.0,-48.0,668.0
125,1665739931217,8280.0,-48.0,568.0
126,1665739931220,8356.0,-88.0,684.0
127,1665739931222,8540.0,-132.0,824.0
128,1665739931224,8292.0,-28.0,564.0
129,1665739931226,8248.0,36.0,624.0
130,1665739931227,8592.0,-232.0,580.0
131,1665739931232,8220.0,32.0,776.0
132,1665739931234,8348.0,-216.0,624.0
133,1665739931235,8608.0,-8.0,816.0
134,1665739931236,8272.0,-200.0,444.0
135,1665739931239,8480.0,-76.0,852.0
136,1665739931241,8332.0,-248.0,600.0
137,1665739931244,8636.0,100.0,804.0
138,1665739931246,8432.0,-384.0,668.0
139,1665739931249,8724.0,-116.0,644.0
140,1665739931250,8388.0,-204.0,804.0
141,1665739931252,8744.0,-64.0,824.0
142,1665739931253,8468.0,-252.0,764.0
143,1665739931257,8276.0,-132.0,704.0
144,1665739931259,8500.0,-488.0,664.0
145,1665739931261,8528.0,-68.0,896.0
146,1665739931264,8628.0,-176.0,836.0
147,1665739931267,8552.0,-156.0,924.0
148,1665739931268,8468.0,-176.0,916.0
149,1665739931270,8352.0,-364.0,712.0
150,1665739931272,8440.0,-216.0,684.0
151,1665739931273,8572.0,280.0,756.0
152,1665739931277,8500.0,-520.0,716.0
153,1665739931278,8040.0,-608.0,536.0
154,1665739931281,8488.0,320.0,848.0
155,1665739931283,8468.0,-268.0,760.0
156,1665739931285,8380.0,-180.0,832.0
157,1665739931289,8492.0,-292.0,692.0
158,1665739931290,8212.0,-248.0,684.0
159,1665739931291,8488.0,92.0,892.0
160,1665739931296,8700.0,-276.0,756.0
161,1665739931296,8612.0,-220.0,684.0
162,1665739931299,8464.0,168.0,872.0
163,1665739931301,8540.0,-660.0,764.0
164,1665739931303,8296.0,-12.0,832.0
165,1665739931305,8408.0,-20.0,888.0
166,1665739931307,8264.0,-264.0,656.0
167,1665739931308,8192.0,88.0,708.0
168,1665739931312,8768.0,-512.0,828.0
169,1665739931313,8492.0,28.0,724.0
170,1665739931315,8056.0,28.0,532.0
171,1665739931319,8564.0,-16.0,804.0
172,1665739931319,8512.0,-152.0,792.0
173,1665739931322,8300.0,24.0,608.0
174,1665739931324,8352.0,-196.0,836.0
175,1665739931326,8496.0,-196.0,720.0
176,1665739931331,8460.0,228.0,716.0
177,1665739931331,8464.0,-300.0,624.0
178,1665739931334,8540.0,-72.0,652.0
179,1665739931336,8304.0,-128.0,892.0
180,1665739931338,8496.0,-188.0,776.0
181,1665739931339,8396.0,12.0,632.0
182,1665739931343,8544.0,-336.0,836.0
183,1665739931345,8548.0,-232.0,852.0
184,1665739931347,8412.0,36.0,844.0
185,1665739931349,8388.0,-40.0,608.0
186,1665739931352,8536.0,-104.0,748.0
187,1665739931353,8644.0,-316.0,716.0
188,1665739931356,8308.0,-164.0,772.0
189,1665739931358,8324.0,-160.0,576.0
190,1665739931360,8496.0,-216.0,996.0
191,1665739931362,8496.0,-60.0,600.0
192,1665739931366,8564.0,292.0,812.0
193,1665739931367,8448.0,-188.0,808.0
194,1665739931369,8896.0,-260.0,884.0
195,1665739931371,8312.0,-180.0,732.0
196,1665739931373,8228.0,200.0,800.0
197,1665739931377,8456.0,-316.0,792.0
198,1665739931377,8564.0,-204.0,776.0
199,1665739931380,8276.0,-52.0,692.0
200,1665739931382,8564.0,-420.0,796.0
201,1665739931384,8508.0,140.0,832.0
202,1665739931385,8648.0,-276.0,932.0
203,1665739931390,8800.0,-324.0,716.0
204,1665739931391,8680.0,64.0,912.0
205,1665739931393,8480.0,-288.0,776.0
206,1665739931394,8568.0,-96.0,596.0
207,1665739931399,8356.0,-396.0,820.0
208,1665739931399,8572.0,-40.0,888.0
209,1665739931402,8364.0,-88.0,724.0
210,1665739931404,8468.0,52.0,820.0
211,1665739931406,8704.0,-248.0,612.0
212,1665739931408,8616.0,-116.0,736.0
213,1665739931412,8400.0,84.0,808.0
214,1665739931412,8272.0,-48.0,432.0
215,1665739931417,8380.0,-92.0,744.0
216,1665739931417,8448.0,-332.0,496.0
217,1665739931419,8584.0,-344.0,620.0
218,1665739931421,8496.0,-76.0,796.0
219,1665739931424,8652.0,-16.0,772.0
220,1665739931425,8572.0,-528.0,616.0
221,1665739931427,8660.0,240.0,644.0
222,1665739931432,8384.0,-68.0,728.0
223,1665739931432,8456.0,-128.0,744.0
224,1665739931435,8220.0,-172.0,616.0
225,1665739931437,8440.0,-560.0,576.0
226,1665739931439,8584.0,-216.0,612.0
227,1665739931441,8296.0,272.0,796.0
228,1665739931442,8632.0,-316.0,492.0
229,1665739931445,8548.0,-52.0,924.0
230,1665739931448,8604.0,-40.0,708.0
231,1665739931450,8152.0,-72.0,508.0
232,1665739931454,8024.0,20.0,700.0
233,1665739931454,8712.0,-112.0,780.0
234,1665739931457,8448.0,-360.0,672.0
235,1665739931460,8472.0,332.0,828.0
236,1665739931460,8548.0,-380.0,776.0
237,1665739931463,8512.0,320.0,736.0
238,1665739931465,8288.0,-528.0,788.0
239,1665739931468,8812.0,-88.0,856.0
240,1665739931470,8284.0,-480.0,656.0
241,1665739931472,8732.0,28.0,764.0
242,1665739931474,8732.0,-96.0,804.0
243,1665739931476,8280.0,-440.0,604.0
244,1665739931478,8840.0,-56.0,948.0
245,1665739931482,8540.0,-700.0,616.0
246,1665739931483,8300.0,-16.0,704.0
247,1665739931485,8444.0,48.0,876.0
248,1665739931488,8440.0,-252.0,540.0
249,1665739931489,8556.0,-64.0,776.0
250,1665739931492,8696.0,-464.0,684.0
251,1665739931494,8508.0,-16.0,912.0
252,1665739931495,8612.0,112.0,672.0
253,1665739931498,8652.0,-56.0,544.0
254,1665739931501,8116.0,-56.0,740.0
255,1665739931502,8440.0,-528.0,672.0
256,1665739931505,8476.0,-12.0,796.0
257,1665739931507,8372.0,32.0,620.0
258,1665739931509,8460.0,-292.0,852.0
259,1665739931510,8796.0,-272.0,732.0
260,1665739931515,8620.0,-116.0,876.0
261,1665739931516,8484.0,-108.0,632.0
262,1665739931518,8184.0,-84.0,672.0
263,1665739931520,8516.0,52.0,920.0
264,1665739931522,8324.0,-504.0,696.0
265,1665739931525,8196.0,-148.0,824.0
266,1665739931526,8760.0,-32.0,844.0
267,1665739931528,8348.0,-392.0,668.0
268,1665739931531,8384.0,172.0,768.0
269,1665739931532,8480.0,-12.0,716.0
270,1665739931536,8444.0,-84.0,812.0
271,1665739931538,8632.0,32.0,700.0
272,1665739931539,8336.0,-180.0,712.0
273,1665739931541,8380.0,-28.0,740.0
274,1665739931546,8372.0,136.0,760.0
275,1665739931546,8352.0,-644.0,612.0
276,1665739931549,8580.0,-36.0,832.0
277,1665739931551,8744.0,76.0,860.0
278,1665739931553,8380.0,-180.0,708.0
279,1665739931556,8164.0,4.0,552.0
280,1665739931557,8488.0,-272.0,856.0
281,1665739931559,8428.0,-124.0,620.0
282,1665739931562,8456.0,-120.0,848.0
283,1665739931564,8620.0,184.0,832.0
284,1665739931565,8668.0,20.0,864.0
285,1665739931568,8572.0,-312.0,800.0
286,1665739931571,8644.0,-200.0,764.0
287,1665739931573,8264.0,-240.0,636.0
288,1665739931574,8272.0,-100.0,820.0
289,1665739931576,8640.0,-324.0,720.0
290,1665739931579,8060.0,-132.0,812.0
291,1665739931582,8472.0,20.0,800.0
292,1665739931583,8572.0,120.0,792.0
293,1665739931586,8164.0,-16.0,592.0
294,1665739931589,8676.0,52.0,792.0
295,1665739931590,8348.0,-380.0,704.0
296,1665739931592,8332.0,-136.0,552.0
297,1665739931596,8704.0,-180.0,976.0
298,1665739931597,8496.0,-296.0,524.0
299,1665739931599,8344.0,140.0,848.0
300,1665739931601,8588.0,-340.0,760.0
301,1665739931603,8460.0,-184.0,620.0
302,1665739931606,8668.0,-140.0,836.0
303,1665739931608,8620.0,-360.0,688.0
304,1665739931610,8276.0,184.0,640.0
305,1665739931612,8548.0,-444.0,736.0
306,1665739931613,8660.0,-200.0,916.0
307,1665739931617,8432.0,-252.0,464.0
308,1665739931619,8432.0,-272.0,800.0
309,1665739931621,8608.0,-224.0,700.0
310,1665739931623,8500.0,244.0,668.0
311,1665739931625,7988.0,-52.0,568.0
312,1665739931629,8580.0,-72.0,784.0
313,1665739931630,8264.0,80.0,768.0
314,1665739931632,8644.0,-128.0,880.0
315,1665739931635,8452.0,-396.0,748.0
316,1665739931635,8496.0,-160.0,764.0
317,1665739931639,8440.0,-216.0,544.0
318,1665739931641,8576.0,72.0,996.0
319,1665739931643,8328.0,-284.0,616.0
320,1665739931645,8508.0,-264.0,740.0
321,1665739931647,8272.0,-152.0,712.0
322,1665739931650,8500.0,-176.0,668.0
323,1665739931652,8420.0,-628.0,700.0
324,1665739931654,8756.0,192.0,840.0
325,1665739931656,8344.0,-424.0,556.0
326,1665739931658,8544.0,-68.0,848.0
327,1665739931659,8596.0,-212.0,772.0
328,1665739931662,8288.0,-24.0,732.0
329,1665739931665,8388.0,-304.0,684.0
330,1665739931667,8812.0,-120.0,780.0
331,1665739931669,8288.0,-644.0,640.0
332,1665739931671,8496.0,128.0,648.0
333,1665739931674,8776.0,280.0,992.0
334,1665739931676,8620.0,-372.0,584.0
335,1665739931677,8508.0,-84.0,924.0
336,1665739931679,8500.0,-556.0,584.0
337,1665739931682,8292.0,-24.0,416.0
338,1665739931685,8444.0,148.0,940.0
339,1665739931686,8560.0,-392.0,536.0
340,1665739931689,8148.0,52.0,688.0
341,1665739931691,8728.0,-132.0,772.0
342,1665739931693,8460.0,-24.0,700.0
343,1665739931696,8260.0,-172.0,800.0
344,1665739931698,8556.0,-220.0,600.0
345,1665739931700,8488.0,-176.0,704.0
346,1665739931702,8256.0,40.0,592.0
347,1665739931704,8468.0,-356.0,860.0
348,1665739931707,8252.0,-216.0,668.0
349,1665739931708,8492.0,168.0,796.0
350,1665739931710,8580.0,-548.0,888.0
351,1665739931714,8352.0,488.0,680.0
352,1665739931715,8648.0,-296.0,720.0
353,1665739931719,8724.0,-408.0,652.0
354,1665739931719,8424.0,-220.0,796.0
355,1665739931722,8356.0,-108.0,692.0
356,1665739931724,8668.0,-44.0,792.0
357,1665739931725,8212.0,-96.0,624.0
358,1665739931728,8144.0,-648.0,584.0
359,1665739931731,8492.0,136.0,832.0
360,1665739931733,8460.0,-36.0,868.0
361,1665739931735,8188.0,-204.0,744.0
362,1665739931736,8336.0,-188.0,572.0
363,1665739931741,8412.0,-432.0,640.0
364,1665739931742,8568.0,-4.0,584.0
365,1665739931744,8408.0,16.0,796.0
366,1665739931746,8304.0,-128.0,708.0
367,1665739931748,8728.0,-332.0,792.0
368,1665739931751,8460.0,-96.0,664.0
369,1665739931753,8256.0,-64.0,712.0
370,1665739931754,8512.0,-252.0,892.0
371,1665739931758,8596.0,-172.0,872.0
372,1665739931758,8436.0,-8.0,860.0
373,1665739931761,8408.0,-452.0,660.0
374,1665739931764,8492.0,272.0,864.0
375,1665739931766,8436.0,-68.0,752.0
376,1665739931769,8616.0,-356.0,656.0
377,1665739931770,8732.0,284.0,840.0
378,1665739931773,8148.0,-276.0,560.0
379,1665739931775,8512.0,-60.0,764.0
380,1665739931776,8280.0,-348.0,668.0
381,1665739931781,8468.0,-56.0,732.0
382,1665739931781,8644.0,-144.0,692.0
383,1665739931783,8560.0,144.0,748.0
384,1665739931785,8328.0,-276.0,760.0
385,1665739931788,8592.0,-268.0,664.0
386,1665739931791,8668.0,-240.0,700.0
387,1665739931791,8452.0,20.0,716.0
388,1665739931794,8504.0,-80.0,900.0
389,1665739931797,8716.0,-248.0,724.0
390,1665739931799,8560.0,-116.0,720.0
391,1665739931801,8464.0,-376.0,776.0
392,1665739931803,8556.0,56.0,868.0
393,1665739931805,8540.0,-108.0,756.0
394,1665739931808,8552.0,-76.0,780.0
395,1665739931810,8412.0,-392.0,736.0
396,1665739931812,8280.0,-108.0,552.0
397,1665739931813,8512.0,196.0,700.0
398,1665739931817,8488.0,-280.0,728.0
399,1665739931818,8616.0,-340.0,868.0
400,1665739931820,8560.0,104.0,884.0
401,1665739931822,8672.0,-176.0,768.0
402,1665739931824,8208.0,-68.0,768.0
403,1665739931826,8616.0,-76.0,800.0
404,1665739931831,8480.0,-548.0,668.0
405,1665739931832,8212.0,-40.0,628.0
406,1665739931834,8792.0,-172.0,832.0
407,1665739931836,8344.0,-276.0,764.0
408,1665739931838,8428.0,64.0,768.0
409,1665739931840,8636.0,-436.0,736.0
410,1665739931843,8472.0,128.0,736.0
411,1665739931845,8064.0,-112.0,600.0
412,1665739931847,8684.0,-244.0,768.0
413,1665739931850,8156.0,-264.0,572.0
414,1665739931851,8600.0,-220.0,820.0
415,1665739931854,8700.0,-108.0,932.0
416,1665739931856,8260.0,60.0,812.0
417,1665739931858,8812.0,-72.0,900.0
418,1665739931860,8620.0,-244.0,888.0
419,1665739931863,8444.0,204.0,584.0
420,1665739931865,8256.0,-324.0,596.0
421,1665739931867,8464.0,-240.0,468.0
422,1665739931870,8408.0,124.0,744.0
423,1665739931871,8632.0,-364.0,512.0
424,1665739931873,8536.0,292.0,800.0
425,1665739931877,8372.0,-208.0,628.0
426,1665739931878,8516.0,-128.0,664.0
427,1665739931880,8208.0,-40.0,804.0
428,1665739931883,8460.0,-136.0,796.0
429,1665739931885,8384.0,-156.0,672.0
430,1665739931886,8548.0,56.0,852.0
431,1665739931889,8308.0,-264.0,620.0
432,1665739931891,8496.0,-84.0,684.0
433,1665739931893,8600.0,-100.0,676.0
434,1665739931896,8336.0,-68.0,756.0
435,1665739931898,8344.0,-316.0,660.0
436,1665739931900,8552.0,12.0,776.0
437,1665739931902,8400.0,-620.0,632.0
438,1665739931904,8164.0,-76.0,840.0
439,1665739931906,8628.0,-156.0,608.0
440,1665739931908,8312.0,-484.0,520.0
441,1665739931910,8516.0,108.0,772.0
442,1665739931913,8796.0,72.0,784.0
443,1665739931915,8292.0,-252.0,772.0
444,1665739931917,8632.0,164.0,824.0
445,1665739931919,8396.0,-456.0,736.0
446,1665739931922,8468.0,-88.0,756.0
447,1665739931924,8532.0,-52.0,812.0
448,1665739931928,8428.0,-400.0,700.0
449,1665739931928,8704.0,72.0,872.0
450,1665739931930,8584.0,-376.0,728.0
451,1665739931932,8452.0,-72.0,620.0
452,1665739931935,8124.0,-68.0,724.0
453,1665739931936,8748.0,-244.0,728.0
454,1665739931939,8348.0,-284.0,644.0
455,1665739931941,8356.0,-152.0,824.0
456,1665739931944,8572.0,-340.0,808.0
457,1665739931946,8476.0,-168.0,784.0
458,1665739931950,8388.0,0.0,700.0
459,1665739931950,8524.0,-224.0,852.0
460,1665739931952,8484.0,-320.0,660.0
461,1665739931953,8316.0,-136.0,868.0
462,1665739931957,8552.0,-340.0,584.0
463,1665739931959,8348.0,-360.0,724.0
464,1665739931960,8804.0,72.0,780.0
465,1665739931963,8444.0,32.0,740.0
466,1665739931967,8232.0,-196.0,460.0
467,1665739931968,8764.0,-16.0,904.0
468,1665739931970,8576.0,-392.0,788.0
469,1665739931972,8340.0,-180.0,612.0
470,1665739931975,8164.0,-128.0,664.0
471,1665739931977,8448.0,-304.0,680.0
472,1665739931981,8524.0,-28.0,888.0
473,1665739931981,8508.0,-188.0,604.0
474,1665739931982,8552.0,88.0,792.0
475,1665739931985,8248.0,-352.0,792.0
476,1665739931986,8596.0,-192.0,640.0
477,1665739931990,8316.0,-60.0,580.0
478,1665739931992,8580.0,-216.0,728.0
479,1665739931994,8640.0,24.0,784.0
480,1665739931997,8304.0,40.0,680.0
481,1665739931998,8188.0,-196.0,844.0
482,1665739932001,8652.0,-304.0,796.0
483,1665739932003,8492.0,24.0,604.0
484,1665739932005,8344.0,-288.0,688.0
485,1665739932006,8612.0,-104.0,780.0
486,1665739932009,8344.0,-176.0,468.0
487,1665739932013,8552.0,-76.0,752.0
488,1665739932014,8364.0,-184.0,708.0
489,1665739932016,8496.0,16.0,652.0
490,1665739932019,8460.0,-432.0,632.0
491,1665739932020,8408.0,0.0,796.0
492,1665739932023,8192.0,92.0,600.0
493,1665739932025,8392.0,-164.0,852.0
494,1665739932027,8420.0,-160.0,692.0
495,1665739932029,8464.0,-88.0,828.0
496,1665739932031,8376.0,-328.0,640.0
497,1665739932033,8456.0,200.0,640.0
498,1665739932036,8444.0,-292.0,760.0
499,1665739932038,8536.0,76.0,928.0
500,1665739932039,8448.0,-320.0,660.0
501,1665739932041,8452.0,188.0,816.0
502,1665739932044,8392.0,-284.0,680.0
503,1665739932046,8716.0,-28.0,820.0
504,1665739932049,8292.0,-348.0,752.0
505,1665739932051,8824.0,-16.0,756.0
506,1665739932052,8532.0,208.0,804.0
507,1665739932056,8408.0,-296.0,640.0
508,1665739932058,8448.0,-8.0,584.0
509,1665739932060,8612.0,-132.0,824.0
510,1665739932062,8348.0,-168.0,512.0
511,1665739932064,8452.0,0.0,764.0
512,1665739932066,8548.0,-180.0,692.0
513,1665739932069,8424.0,-136.0,872.0
514,1665739932071,8652.0,-144.0,796.0
515,1665739932073,8520.0,-64.0,700.0
516,1665739932074,8456.0,-144.0,792.0
517,1665739932079,8444.0,-32.0,776.0
518,1665739932079,8432.0,-320.0,920.0
519,1665739932082,8640.0,-140.0,640.0
520,1665739932084,8464.0,-184.0,936.0
521,1665739932085,8512.0,-84.0,616.0
522,1665739932088,8464.0,8.0,868.0
523,1665739932091,8376.0,-384.0,692.0
524,1665739932093,8568.0,140.0,628.0
525,1665739932095,8344.0,-140.0,712.0
526,1665739932097,8668.0,-260.0,744.0
527,1665739932098,8212.0,-160.0,812.0
528,1665739932103,8520.0,-320.0,628.0
529,1665739932104,8676.0,72.0,696.0
530,1665739932106,8228.0,-104.0,700.0
531,1665739932108,8372.0,-400.0,668.0
532,1665739932110,8556.0,8.0,736.0
533,1665739932112,8468.0,-12.0,716.0
534,1665739932115,8316.0,-80.0,764.0
535,1665739932116,8404.0,-152.0,600.0
536,1665739932119,8448.0,-224.0,784.0
537,1665739932122,8592.0,-188.0,636.0
538,1665739932123,8396.0,4.0,948.0
539,1665739932126,8296.0,-180.0,680.0
540,1665739932128,8516.0,-112.0,756.0
541,1665739932130,8356.0,-120.0,696.0
542,1665739932133,8344.0,112.0,776.0
543,1665739932134,8568.0,-396.0,800.0
544,1665739932136,8784.0,-160.0,828.0
545,1665739932139,8420.0,-252.0,712.0
546,1665739932141,8448.0,-376.0,576.0
547,1665739932143,8356.0,-44.0,812.0
548,1665739932145,8384.0,-8.0,828.0
549,1665739932146,8408.0,-332.0,676.0
550,1665739932150,8780.0,84.0,896.0
551,1665739932152,8460.0,-216.0,696.0
552,1665739932154,8624.0,8.0,772.0
553,1665739932156,8236.0,-148.0,632.0
554,1665739932158,8504.0,-288.0,792.0
555,1665739932160,8584.0,-420.0,700.0
556,1665739932162,8612.0,228.0,776.0
557,1665739932166,8348.0,-240.0,784.0
558,1665739932167,8404.0,-80.0,732.0
559,1665739932170,8512.0,-100.0,768.0
560,1665739932172,8492.0,-232.0,624.0
561,1665739932174,8524.0,140.0,936.0
562,1665739932176,8568.0,-180.0,872.0
563,1665739932180,8436.0,-344.0,760.0
564,1665739932180,8408.0,-144.0,688.0
565,1665739932182,8424.0,-100.0,784.0
566,1665739932185,8364.0,-36.0,720.0
567,1665739932186,8484.0,-68.0,704.0
568,1665739932191,8536.0,-272.0,724.0
569,1665739932191,8372.0,-284.0,712.0
570,1665739932194,8516.0,-16.0,772.0
571,1665739932196,8400.0,-292.0,700.0
572,1665739932198,8632.0,-84.0,644.0
573,1665739932200,8584.0,-188.0,736.0
574,1665739932203,8676.0,-8.0,672.0
575,1665739932205,8064.0,-284.0,680.0
576,1665739932207,8636.0,120.0,912.0
577,1665739932208,8400.0,-644.0,584.0
578,1665739932210,8228.0,-164.0,684.0
579,1665739932214,8684.0,-40.0,860.0
580,1665739932216,8416.0,-424.0,624.0
581,1665739932218,8356.0,28.0,720.0
582,1665739932220,8488.0,-396.0,692.0
583,1665739932223,8524.0,68.0,752.0
584,1665739932224,8152.0,-8.0,672.0
585,1665739932226,8620.0,-456.0,652.0
586,1665739932229,8156.0,-260.0,584.0
587,1665739932231,8508.0,-156.0,644.0
588,1665739932233,8760.0,-372.0,776.0
589,1665739932235,8192.0,200.0,688.0
590,1665739932236,8716.0,-124.0,916.0
591,1665739932240,8456.0,-528.0,804.0
592,1665739932242,8424.0,284.0,752.0
593,1665739932246,8412.0,-396.0,896.0
594,1665739932246,8464.0,-244.0,652.0
595,1665739932249,8424.0,76.0,772.0
596,1665739932251,8400.0,-416.0,596.0
597,1665739932253,8624.0,320.0,984.0
598,1665739932255,8352.0,-276.0,676.0
599,1665739932256,8500.0,-280.0,544.0
600,1665739932260,8308.0,-16.0,728.0
601,1665739932261,8576.0,-240.0,620.0
602,1665739932263,8460.0,-200.0,704.0
603,1665739932265,8384.0,-48.0,692.0
604,1665739932268,8420.0,-324.0,844.0
605,1665739932271,8620.0,-340.0,684.0
606,1665739932273,8484.0,-28.0,744.0
607,1665739932275,8292.0,-296.0,636.0
608,1665739932276,8580.0,-116.0,632.0
609,1665739932279,8552.0,144.0,976.0
610,1665739932282,8428.0,-96.0,652.0
611,1665739932284,8212.0,-232.0,732.0
612,1665739932286,8524.0,-128.0,632.0
613,1665739932288,8508.0,-288.0,724.0
614,1665739932291,8456.0,-20.0,756.0
615,1665739932292,8772.0,152.0,860.0
616,1665739932295,8152.0,-220.0,632.0
617,1665739932297,8668.0,96.0,680.0
618,1665739932299,8228.0,-368.0,504.0
619,1665739932301,8444.0,-128.0,812.0
620,1665739932303,8576.0,-28.0,632.0
621,1665739932306,8476.0,-280.0,736.0
622,1665739932308,8560.0,-100.0,700.0
623,1665739932309,8500.0,-196.0,752.0
624,1665739932312,8480.0,0.0,664.0
625,1665739932313,8220.0,-20.0,764.0
626,1665739932317,8724.0,-52.0,920.0
627,1665739932319,8528.0,-224.0,744.0
628,1665739932321,8528.0,-292.0,748.0
629,1665739932323,8552.0,-232.0,820.0
630,1665739932325,8564.0,-264.0,724.0
631,1665739932329,8532.0,-60.0,696.0
632,1665739932330,8604.0,-160.0,844.0
