Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1665742484637,8248.0,-84.0,776.0
1,1665742484638,8544.0,-92.0,580.0
2,1665742484638,8380.0,180.0,948.0
3,1665742484638,8500.0,-352.0,552.0
4,1665742484638,8444.0,292.0,764.0
5,1665742484638,8576.0,-52.0,808.0
6,1665742484638,8496.0,8.0,692.0
7,1665742484638,8368.0,216.0,804.0
8,1665742484638,8560.0,84.0,732.0
9,1665742484639,8424.0,-8.0,644.0
10,1665742484639,8644.0,200.0,880.0
11,1665742484639,8108.0,-296.0,724.0
12,1665742484639,8504.0,-36.0,728.0
13,1665742484643,8464.0,280.0,788.0
14,1665742484644,8584.0,300.0,640.0
15,1665742484646,8236.0,-120.0,532.0
16,1665742484656,8528.0,292.0,772.0
17,1665742484656,8460.0,-320.0,684.0
18,1665742484656,8072.0,-148.0,664.0
19,1665742484656,8788.0,252.0,752.0
20,1665742484657,8308.0,-556.0,760.0
21,1665742484659,8676.0,216.0,692.0
22,1665742484661,8492.0,212.0,560.0
23,1665742484663,8172.0,-264.0,500.0
24,1665742484665,8732.0,460.0,784.0
25,1665742484668,8560.0,-320.0,660.0
26,1665742484670,8304.0,172.0,664.0
27,1665742484672,8548.0,164.0,804.0
28,1665742484673,8668.0,-232.0,744.0
29,1665742484676,8320.0,228.0,780.0
30,1665742484679,8684.0,-204.0,836.0
31,1665742484681,8636.0,288.0,856.0
32,1665742484685,8240.0,120.0,692.0
33,1665742484685,8596.0,-76.0,728.0
34,1665742484687,8452.0,88.0,748.0
35,1665742484691,8316.0,-124.0,728.0
36,1665742484692,8580.0,192.0,856.0
37,1665742484695,8452.0,44.0,756.0
38,1665742484696,8436.0,144.0,732.0
39,1665742484698,8692.0,-104.0,684.0
40,1665742484702,8364.0,-20.0,620.0
41,1665742484703,8476.0,-56.0,752.0
42,1665742484705,8568.0,-88.0,660.0
43,1665742484707,8204.0,216.0,664.0
44,1665742484708,8596.0,-220.0,520.0
45,1665742484712,8464.0,16.0,796.0
46,1665742484715,8364.0,20.0,604.0
47,1665742484716,8616.0,20.0,796.0
48,1665742484718,8476.0,-44.0,772.0
49,1665742484720,8544.0,156.0,712.0
50,1665742484723,8436.0,-160.0,852.0
51,1665742484725,8456.0,144.0,836.0
52,1665742484728,8284.0,28.0,848.0
53,1665742484729,8276.0,-296.0,632.0
54,1665742484732,8476.0,208.0,740.0
55,1665742484733,8264.0,84.0,748.0
56,1665742484736,8540.0,12.0,760.0
57,1665742484738,8448.0,80.0,692.0
58,1665742484741,8460.0,-32.0,888.0
59,1665742484744,8320.0,-152.0,732.0
60,1665742484744,8496.0,-52.0,764.0
61,1665742484747,8272.0,44.0,900.0
62,1665742484751,8420.0,-244.0,628.0
63,1665742484751,8464.0,332.0,724.0
64,1665742484754,8244.0,-128.0,612.0
65,1665742484756,8400.0,-108.0,808.0
66,1665742484759,8616.0,96.0,632.0
67,1665742484760,8580.0,-12.0,884.0
68,1665742484764,8320.0,-180.0,800.0
69,1665742484764,8624.0,216.0,908.0
70,1665742484767,8480.0,-392.0,808.0
71,1665742484770,8524.0,292.0,748.0
72,1665742484772,8272.0,240.0,804.0
73,1665742484773,8532.0,-160.0,764.0
74,1665742484776,8624.0,396.0,916.0
75,1665742484779,8612.0,-144.0,788.0
76,1665742484779,8324.0,-76.0,468.0
77,1665742484783,8548.0,192.0,900.0
78,1665742484785,8512.0,-424.0,640.0
79,1665742484786,7976.0,248.0,744.0
80,1665742484789,8456.0,-104.0,720.0
81,1665742484791,8548.0,140.0,788.0
82,1665742484794,8384.0,-4.0,664.0
83,1665742484796,8700.0,-92.0,908.0
84,1665742484796,8316.0,-180.0,780.0
85,1665742484800,8732.0,-68.0,716.0
86,1665742484802,8404.0,84.0,720.0
87,1665742484804,8352.0,-8.0,684.0
88,1665742484806,8308.0,-80.0,864.0
89,1665742484808,8824.0,-48.0,764.0
90,1665742484812,8388.0,-56.0,536.0
91,1665742484812,8224.0,304.0,948.0
92,1665742484816,8744.0,-196.0,828.0
93,1665742484818,8496.0,220.0,940.0
94,1665742484819,8428.0,-132.0,692.0
95,1665742484822,8540.0,108.0,748.0
96,1665742484824,8368.0,-76.0,664.0
97,1665742484826,8496.0,92.0,820.0
98,1665742484828,8536.0,-72.0,720.0
99,1665742484831,8524.0,444.0,784.0
100,1665742484832,8444.0,-308.0,692.0
101,1665742484834,8596.0,212.0,776.0
102,1665742484838,8388.0,4.0,708.0
103,1665742484840,8492.0,-156.0,688.0
104,1665742484841,8620.0,288.0,752.0
105,1665742484844,8416.0,56.0,848.0
106,1665742484846,8728.0,-88.0,792.0
107,1665742484849,8400.0,364.0,536.0
108,1665742484851,8444.0,-96.0,680.0
109,1665742484852,8472.0,-64.0,648.0
110,1665742484857,8368.0,148.0,744.0
111,1665742484857,8312.0,-328.0,624.0
112,1665742484860,8392.0,108.0,632.0
113,1665742484862,8484.0,100.0,764.0
114,1665742484863,8456.0,68.0,700.0
115,1665742484867,8620.0,-92.0,684.0
116,1665742484867,8588.0,-68.0,732.0
117,1665742484870,8428.0,32.0,660.0
118,1665742484873,8256.0,4.0,728.0
119,1665742484875,8408.0,48.0,700.0
120,1665742484879,8372.0,-80.0,680.0
121,1665742484879,8504.0,64.0,660.0
