Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1665740023582,8480.0,-188.0,756.0
1,1665740023582,8520.0,-220.0,848.0
2,1665740023582,8452.0,-104.0,616.0
3,1665740023582,8408.0,-128.0,748.0
4,1665740023582,8496.0,-140.0,848.0
5,1665740023582,8504.0,-236.0,672.0
6,1665740023582,8440.0,-120.0,736.0
7,1665740023582,8468.0,-72.0,864.0
8,1665740023582,8468.0,-152.0,828.0
9,1665740023584,8496.0,-108.0,660.0
10,1665740023584,8496.0,-104.0,712.0
11,1665740023584,8424.0,-156.0,832.0
12,1665740023584,8360.0,-100.0,680.0
13,1665740023584,8464.0,-96.0,800.0
14,1665740023584,8436.0,-204.0,788.0
15,1665740023587,8436.0,-236.0,844.0
16,1665740023588,8484.0,-72.0,592.0
17,1665740023590,8500.0,-100.0,696.0
18,1665740023592,8456.0,-168.0,660.0
19,1665740023599,8492.0,-168.0,708.0
20,1665740023599,8440.0,-44.0,588.0
21,1665740023599,8500.0,-88.0,644.0
22,1665740023600,8516.0,-132.0,616.0
23,1665740023602,8464.0,-192.0,632.0
24,1665740023606,8520.0,-196.0,764.0
25,1665740023607,8392.0,-168.0,660.0
26,1665740023609,8436.0,-88.0,832.0
27,1665740023612,8520.0,-144.0,704.0
28,1665740023613,8544.0,-224.0,700.0
29,1665740023616,8508.0,-144.0,856.0
30,1665740023618,8436.0,-152.0,744.0
31,1665740023620,8464.0,-64.0,876.0
32,1665740023624,8452.0,-196.0,676.0
33,1665740023624,8456.0,-140.0,752.0
34,1665740023627,8500.0,-184.0,680.0
35,1665740023629,8460.0,-128.0,756.0
36,1665740023631,8400.0,-144.0,752.0
37,1665740023633,8388.0,-164.0,664.0
38,1665740023635,8392.0,-60.0,840.0
39,1665740023637,8504.0,-84.0,740.0
40,1665740023640,8492.0,-16.0,652.0
41,1665740023642,8416.0,-52.0,744.0
42,1665740023646,8496.0,-108.0,708.0
43,1665740023646,8436.0,-132.0,824.0
44,1665740023651,8484.0,-160.0,688.0
45,1665740023652,8576.0,-104.0,780.0
46,1665740023654,8516.0,-156.0,592.0
47,1665740023656,8488.0,-64.0,672.0
48,1665740023658,8520.0,-96.0,560.0
49,1665740023660,8508.0,-144.0,536.0
50,1665740023663,8472.0,-160.0,588.0
51,1665740023665,8496.0,-144.0,712.0
52,1665740023666,8464.0,-72.0,776.0
53,1665740023669,8444.0,-216.0,748.0
54,1665740023672,8428.0,-164.0,852.0
55,1665740023673,8556.0,-208.0,760.0
56,1665740023676,8464.0,-156.0,668.0
57,1665740023678,8476.0,-104.0,716.0
58,1665740023681,8500.0,-96.0,656.0
59,1665740023682,8536.0,-184.0,808.0
60,1665740023685,8556.0,-176.0,664.0
61,1665740023686,8508.0,-200.0,776.0
62,1665740023689,8392.0,-112.0,828.0
63,1665740023693,8504.0,-140.0,700.0
64,1665740023693,8464.0,-128.0,740.0
65,1665740023696,8444.0,-172.0,676.0
66,1665740023698,8500.0,-132.0,728.0
67,1665740023700,8412.0,-144.0,744.0
68,1665740023702,8416.0,-172.0,784.0
69,1665740023704,8448.0,-248.0,876.0
70,1665740023707,8440.0,-116.0,736.0
71,1665740023708,8376.0,-192.0,676.0
72,1665740023710,8568.0,-152.0,792.0
73,1665740023712,8516.0,-180.0,820.0
74,1665740023715,8388.0,-108.0,760.0
75,1665740023717,8452.0,-120.0,736.0
76,1665740023719,8408.0,-184.0,744.0
77,1665740023722,8484.0,-104.0,736.0
78,1665740023725,8532.0,-132.0,800.0
79,1665740023725,8444.0,-104.0,744.0
80,1665740023728,8524.0,-32.0,804.0
81,1665740023731,8428.0,-156.0,768.0
82,1665740023732,8376.0,-168.0,656.0
83,1665740023735,8488.0,-188.0,740.0
84,1665740023736,8496.0,-148.0,672.0
85,1665740023738,8456.0,-124.0,672.0
86,1665740023741,8548.0,-120.0,736.0
87,1665740023744,8448.0,-280.0,684.0
88,1665740023745,8476.0,-204.0,772.0
89,1665740023747,8516.0,-172.0,740.0
90,1665740023750,8448.0,-136.0,732.0
91,1665740023753,8468.0,-172.0,904.0
92,1665740023755,8448.0,-160.0,576.0
93,1665740023757,8400.0,-124.0,832.0
94,1665740023759,8488.0,-104.0,668.0
95,1665740023760,8448.0,-108.0,816.0
96,1665740023765,8488.0,-200.0,800.0
97,1665740023766,8428.0,-136.0,744.0
98,1665740023768,8468.0,-160.0,812.0
99,1665740023770,8524.0,-184.0,716.0
100,1665740023772,8460.0,-140.0,772.0
101,1665740023774,8424.0,-128.0,552.0
102,1665740023776,8440.0,4.0,596.0
103,1665740023778,8436.0,-52.0,776.0
104,1665740023781,8444.0,-124.0,792.0
105,1665740023783,8480.0,-64.0,788.0
106,1665740023787,8448.0,-168.0,664.0
107,1665740023788,8524.0,-116.0,724.0
108,1665740023790,8496.0,-108.0,848.0
109,1665740023791,8548.0,-200.0,796.0
110,1665740023794,8520.0,-176.0,712.0
111,1665740023798,8412.0,-124.0,732.0
112,1665740023799,8404.0,-180.0,804.0
113,1665740023801,8440.0,-204.0,612.0
114,1665740023803,8452.0,-192.0,652.0
115,1665740023805,8472.0,-156.0,688.0
116,1665740023807,8556.0,-196.0,676.0
117,1665740023810,8396.0,-140.0,612.0
118,1665740023812,8496.0,-112.0,724.0
119,1665740023813,8476.0,-168.0,752.0
120,1665740023815,8444.0,-136.0,736.0
121,1665740023818,8552.0,-136.0,740.0
122,1665740023821,8452.0,-44.0,764.0
123,1665740023823,8560.0,-200.0,712.0
124,1665740023825,8404.0,-108.0,604.0
125,1665740023829,8480.0,-96.0,816.0
126,1665740023829,8516.0,-52.0,776.0
127,1665740023831,8564.0,-204.0,804.0
128,1665740023833,8488.0,-128.0,912.0
129,1665740023836,8488.0,-96.0,672.0
130,1665740023838,8460.0,-152.0,860.0
131,1665740023842,8444.0,-172.0,676.0
132,1665740023843,8516.0,-188.0,696.0
133,1665740023845,8468.0,-160.0,724.0
134,1665740023847,8452.0,-64.0,752.0
135,1665740023849,8416.0,-172.0,676.0
136,1665740023851,8468.0,-124.0,800.0
137,1665740023854,8428.0,-128.0,648.0
138,1665740023855,8576.0,-112.0,620.0
139,1665740023857,8548.0,-96.0,820.0
140,1665740023860,8532.0,-116.0,744.0
141,1665740023863,8432.0,-176.0,868.0
142,1665740023865,8452.0,-116.0,740.0
143,1665740023866,8508.0,-148.0,792.0
144,1665740023868,8476.0,-168.0,640.0
145,1665740023871,8456.0,-220.0,640.0
146,1665740023872,8588.0,-156.0,776.0
147,1665740023875,8464.0,-96.0,684.0
148,1665740023877,8496.0,-176.0,732.0
149,1665740023879,8432.0,-140.0,772.0
150,1665740023882,8436.0,-104.0,740.0
151,1665740023885,8552.0,-132.0,636.0
152,1665740023885,8444.0,-112.0,644.0
153,1665740023889,8504.0,-144.0,788.0
154,1665740023890,8476.0,-180.0,848.0
155,1665740023892,8468.0,-72.0,756.0
156,1665740023896,8448.0,-72.0,756.0
157,1665740023896,8464.0,-164.0,640.0
158,1665740023900,8480.0,-76.0,624.0
159,1665740023901,8448.0,-48.0,596.0
160,1665740023904,8360.0,-184.0,852.0
161,1665740023907,8468.0,-128.0,672.0
162,1665740023907,8472.0,-164.0,648.0
163,1665740023910,8484.0,-116.0,828.0
164,1665740023913,8424.0,-172.0,792.0
165,1665740023914,8456.0,-108.0,708.0
166,1665740023919,8468.0,-116.0,692.0
167,1665740023919,8432.0,-140.0,752.0
168,1665740023922,8504.0,-172.0,736.0
169,1665740023924,8476.0,-168.0,764.0
170,1665740023926,8408.0,-188.0,812.0
171,1665740023928,8492.0,-140.0,640.0
172,1665740023929,8508.0,-128.0,828.0
173,1665740023932,8524.0,-104.0,712.0
174,1665740023935,8448.0,-140.0,792.0
175,1665740023937,8464.0,-100.0,688.0
176,1665740023939,8392.0,-76.0,736.0
177,1665740023941,8484.0,-184.0,700.0
178,1665740023944,8456.0,-52.0,824.0
179,1665740023946,8540.0,-120.0,844.0
180,1665740023948,8544.0,-148.0,640.0
181,1665740023949,8444.0,-196.0,548.0
182,1665740023952,8444.0,-200.0,748.0
183,1665740023955,8532.0,-212.0,672.0
184,1665740023957,8404.0,-188.0,788.0
185,1665740023958,8424.0,-168.0,768.0
186,1665740023962,8436.0,-92.0,768.0
187,1665740023962,8424.0,-96.0,704.0
188,1665740023965,8420.0,-124.0,756.0
189,1665740023968,8516.0,-72.0,812.0
190,1665740023970,8404.0,-68.0,736.0
191,1665740023972,8436.0,-100.0,652.0
192,1665740023973,8496.0,-120.0,672.0
193,1665740023976,8468.0,-144.0,748.0
194,1665740023978,8480.0,-96.0,704.0
195,1665740023981,8508.0,-152.0,696.0
196,1665740023982,8476.0,-200.0,776.0
197,1665740023985,8364.0,-188.0,696.0
198,1665740023986,8516.0,-124.0,692.0
199,1665740023990,8548.0,-168.0,684.0
200,1665740023992,8500.0,-108.0,784.0
201,1665740023994,8352.0,-72.0,748.0
202,1665740023996,8416.0,-112.0,720.0
203,1665740023997,8496.0,-168.0,688.0
204,1665740024001,8460.0,-96.0,724.0
205,1665740024003,8472.0,-240.0,880.0
206,1665740024005,8496.0,-224.0,744.0
207,1665740024007,8508.0,-164.0,720.0
208,1665740024009,8436.0,-156.0,804.0
209,1665740024012,8476.0,-176.0,792.0
210,1665740024013,8464.0,-148.0,764.0
211,1665740024016,8428.0,-180.0,828.0
212,1665740024018,8492.0,-144.0,852.0
213,1665740024020,8532.0,-180.0,708.0
214,1665740024021,8488.0,-132.0,748.0
215,1665740024024,8408.0,-100.0,800.0
216,1665740024027,8460.0,-152.0,740.0
217,1665740024029,8496.0,-172.0,716.0
218,1665740024030,8468.0,-96.0,684.0
219,1665740024033,8552.0,-80.0,640.0
220,1665740024036,8460.0,-216.0,796.0
221,1665740024038,8532.0,-84.0,828.0
222,1665740024039,8488.0,-152.0,676.0
223,1665740024042,8548.0,-204.0,712.0
224,1665740024044,8460.0,-176.0,804.0
225,1665740024047,8404.0,-112.0,876.0
226,1665740024049,8448.0,-112.0,744.0
227,1665740024051,8464.0,-148.0,660.0
228,1665740024053,8428.0,-152.0,736.0
229,1665740024055,8424.0,-132.0,860.0
230,1665740024058,8456.0,-168.0,772.0
231,1665740024060,8404.0,-152.0,640.0
232,1665740024062,8484.0,-212.0,772.0
233,1665740024064,8512.0,-104.0,808.0
234,1665740024066,8436.0,-104.0,676.0
235,1665740024069,8512.0,-56.0,804.0
236,1665740024071,8552.0,-176.0,828.0
237,1665740024073,8504.0,-148.0,764.0
238,1665740024075,8448.0,-224.0,716.0
239,1665740024077,8504.0,-116.0,676.0
240,1665740024079,8464.0,-184.0,708.0
241,1665740024082,8556.0,-156.0,740.0
