Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1.66574E+12,8536,-812,680
1,1.66574E+12,9604,532,888
2,1.66574E+12,8704,-168,1000
3,1.66574E+12,9008,-352,784
4,1.66574E+12,8404,-32,540
5,1.66574E+12,8988,-232,668
6,1.66574E+12,8068,-8,492
7,1.66574E+12,9012,-116,772
8,1.66574E+12,9192,-96,704
9,1.66574E+12,8572,-196,752
10,1.66574E+12,8680,-104,792
11,1.66574E+12,9116,256,812
12,1.66574E+12,8676,-280,764
13,1.66574E+12,9092,-228,728
14,1.66574E+12,9368,180,1068
15,1.66574E+12,8060,-460,392
16,1.66574E+12,9108,-60,796
17,1.66574E+12,8952,-4,792
18,1.66574E+12,8684,-268,748
19,1.66574E+12,8252,-44,672
20,1.66574E+12,9092,-128,916
21,1.66574E+12,9332,-248,796
22,1.66574E+12,8096,-24,652
23,1.66574E+12,8428,-152,664
24,1.66574E+12,9164,-236,748
25,1.66574E+12,9236,-188,1008
26,1.66574E+12,8192,-164,528
27,1.66574E+12,8176,-276,672
28,1.66574E+12,9140,-112,700
29,1.66574E+12,9188,-60,736
30,1.66574E+12,8404,-212,580
31,1.66574E+12,8672,48,804
32,1.66574E+12,8856,-200,908
33,1.66574E+12,8696,-204,664
34,1.66574E+12,8396,-88,640
35,1.66574E+12,8840,-172,756
36,1.66574E+12,8904,-148,708
37,1.66574E+12,8624,-24,616
38,1.66574E+12,9016,-168,760
39,1.66574E+12,8728,-92,792
40,1.66574E+12,8416,-44,640
41,1.66574E+12,8672,-328,692
42,1.66574E+12,9196,-96,988
43,1.66574E+12,8912,-12,724
44,1.66574E+12,8304,-196,604
45,1.66574E+12,8932,-144,856
46,1.66574E+12,8836,-256,688
47,1.66574E+12,8380,-128,764
48,1.66574E+12,8612,-180,712
49,1.66574E+12,8616,-180,484
50,1.66574E+12,8852,208,680
51,1.66574E+12,8604,-212,680
52,1.66574E+12,8560,-80,792
53,1.66574E+12,8608,-180,712
54,1.66574E+12,8360,-268,616
55,1.66574E+12,8484,-204,736
56,1.66574E+12,8540,-88,684
57,1.66574E+12,8536,0,860
58,1.66574E+12,8688,-124,784
59,1.66574E+12,8500,-180,860
60,1.66574E+12,8396,-112,696
61,1.66574E+12,8452,-160,880
62,1.66574E+12,8680,12,692
63,1.66574E+12,8528,-52,656
64,1.66574E+12,8408,-112,516
65,1.66574E+12,8528,-80,636
66,1.66574E+12,8676,-176,724
67,1.66574E+12,8288,-24,712
68,1.66574E+12,8552,-208,828
69,1.66574E+12,8816,-96,1028
70,1.66574E+12,8284,-72,664
71,1.66574E+12,8688,-172,656
72,1.66574E+12,8684,-60,812
73,1.66574E+12,8248,-128,648
74,1.66574E+12,8520,-176,720
75,1.66574E+12,8532,-96,836
76,1.66574E+12,8364,-248,620
77,1.66574E+12,8676,-100,944
78,1.66574E+12,8496,-144,660
79,1.66574E+12,8448,-228,792
80,1.66574E+12,8600,116,880
81,1.66574E+12,8408,-276,580
82,1.66574E+12,8624,-232,816
83,1.66574E+12,8500,-68,816
84,1.66574E+12,8344,-196,712
85,1.66574E+12,8540,-44,724
86,1.66574E+12,8484,-92,584
87,1.66574E+12,8464,-88,828
88,1.66574E+12,8416,-164,736
89,1.66574E+12,8428,-172,808
90,1.66574E+12,8484,-112,852
91,1.66574E+12,8464,-284,696
92,1.66574E+12,8448,-40,776
93,1.66574E+12,8540,-176,732
94,1.66574E+12,8472,-72,572
95,1.66574E+12,8352,-140,732
96,1.66574E+12,8700,-144,796
97,1.66574E+12,8516,-92,1008
98,1.66574E+12,8264,-204,816
99,1.66574E+12,8580,-168,788
100,1.66574E+12,8640,-128,716
101,1.66574E+12,8212,-228,600
102,1.66574E+12,8492,76,756
103,1.66574E+12,8632,-152,680
104,1.66574E+12,8280,-136,780
105,1.66574E+12,8304,-212,772
106,1.66574E+12,8756,-296,696
107,1.66574E+12,8512,-36,852
108,1.66574E+12,8136,40,580
109,1.66574E+12,8796,-192,948
110,1.66574E+12,8436,-312,924
111,1.66574E+12,8240,-196,644
112,1.66574E+12,8712,-160,484
113,1.66574E+12,8364,-52,508
114,1.66574E+12,8564,-100,772
115,1.66574E+12,8704,-124,892
116,1.66574E+12,8380,-248,736
117,1.66574E+12,8444,-64,628
118,1.66574E+12,8384,-224,760
119,1.66574E+12,8308,-136,496
120,1.66574E+12,8632,-36,660
121,1.66574E+12,8548,-100,724
122,1.66574E+12,8380,-128,788
123,1.66574E+12,8784,-184,816
124,1.66574E+12,8608,-284,944
125,1.66574E+12,8064,-112,764
126,1.66574E+12,8496,-160,688
127,1.66574E+12,8552,-208,556
128,1.66574E+12,8272,-20,504
129,1.66574E+12,8308,-60,640
130,1.66574E+12,8916,-240,872
131,1.66574E+12,8228,-280,700
132,1.66574E+12,8248,-16,888
133,1.66574E+12,8652,-324,540
134,1.66574E+12,8808,-124,884
135,1.66574E+12,8032,100,792
136,1.66574E+12,8532,-184,664
137,1.66574E+12,8628,-84,836
138,1.66574E+12,7908,-260,620
139,1.66574E+12,8488,-272,776
140,1.66574E+12,8684,-84,836
141,1.66574E+12,8224,-88,424
142,1.66574E+12,8600,-44,820
143,1.66574E+12,8776,-176,756
144,1.66574E+12,8316,-156,780
145,1.66574E+12,8320,-36,860
146,1.66574E+12,8564,-328,876
147,1.66574E+12,8484,-140,600
148,1.66574E+12,8096,40,628
149,1.66574E+12,8632,-180,636
150,1.66574E+12,8732,-140,664
151,1.66574E+12,8420,-248,696
152,1.66574E+12,8692,-52,1232
153,1.66574E+12,7976,-252,684
154,1.66574E+12,8568,-132,596
155,1.66574E+12,8416,-220,612
156,1.66574E+12,8412,-160,664
157,1.66574E+12,8500,128,828
158,1.66574E+12,8592,-160,812
159,1.66574E+12,8312,-240,496
160,1.66574E+12,8552,-36,968
161,1.66574E+12,8628,-280,816
162,1.66574E+12,8024,72,604
