Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1665742649855,8492.0,-72.0,736.0
1,1665742649857,8416.0,-20.0,656.0
2,1665742649857,8524.0,180.0,716.0
3,1665742649857,8524.0,-24.0,848.0
4,1665742649857,8520.0,60.0,640.0
5,1665742649857,8512.0,44.0,824.0
6,1665742649857,8500.0,-80.0,744.0
7,1665742649857,8444.0,-4.0,644.0
8,1665742649857,8484.0,-12.0,760.0
9,1665742649857,8536.0,-48.0,600.0
10,1665742649858,8424.0,60.0,792.0
11,1665742649858,8444.0,-28.0,700.0
12,1665742649858,8476.0,-28.0,784.0
13,1665742649858,8424.0,-44.0,716.0
14,1665742649859,8496.0,36.0,700.0
15,1665742649861,8436.0,28.0,632.0
16,1665742649863,8472.0,64.0,828.0
17,1665742649865,8508.0,-60.0,644.0
18,1665742649867,8464.0,112.0,684.0
19,1665742649874,8480.0,136.0,736.0
20,1665742649874,8464.0,40.0,744.0
21,1665742649874,8472.0,-24.0,740.0
22,1665742649876,8468.0,-48.0,612.0
23,1665742649878,8488.0,36.0,768.0
24,1665742649880,8540.0,-40.0,728.0
25,1665742649885,8568.0,-8.0,940.0
26,1665742649885,8548.0,-24.0,728.0
27,1665742649887,8536.0,52.0,680.0
28,1665742649889,8524.0,4.0,772.0
29,1665742649891,8408.0,80.0,704.0
30,1665742649895,8428.0,-68.0,692.0
31,1665742649896,8444.0,-4.0,832.0
32,1665742649898,8436.0,36.0,816.0
33,1665742649900,8408.0,-36.0,772.0
34,1665742649904,8412.0,64.0,832.0
35,1665742649905,8500.0,28.0,728.0
36,1665742649907,8452.0,-28.0,868.0
37,1665742649909,8488.0,0.0,796.0
38,1665742649911,8448.0,24.0,716.0
39,1665742649913,8448.0,-24.0,800.0
40,1665742649916,8524.0,-20.0,568.0
41,1665742649918,8496.0,36.0,640.0
42,1665742649920,8476.0,52.0,644.0
43,1665742649922,8388.0,-32.0,712.0
44,1665742649924,8548.0,-24.0,680.0
