Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1661422493793,4.0,-184.0,492.0
1,1661422493794,8316.0,20.0,584.0
2,1661422493794,8392.0,8.0,492.0
3,1661422493794,8472.0,-232.0,404.0
4,1661422493794,8616.0,284.0,492.0
5,1661422493794,8456.0,-240.0,580.0
6,1661422493794,8436.0,180.0,428.0
7,1661422493794,8180.0,72.0,504.0
8,1661422493794,8568.0,-144.0,532.0
9,1661422493794,8376.0,-168.0,284.0
10,1661422493794,8504.0,100.0,584.0
11,1661422493794,8648.0,-60.0,464.0
12,1661422493794,8516.0,4.0,440.0
13,1661422493794,8460.0,24.0,468.0
14,1661422493794,8496.0,-104.0,496.0
15,1661422493794,8468.0,368.0,396.0
16,1661422493797,8440.0,0.0,644.0
17,1661422493798,8592.0,-160.0,280.0
18,1661422493800,8344.0,-188.0,560.0
19,1661422493804,8600.0,96.0,572.0
20,1661422493805,8804.0,168.0,512.0
21,1661422493807,8140.0,-144.0,304.0
22,1661422493809,8640.0,172.0,768.0
23,1661422493820,8392.0,-396.0,448.0
24,1661422493820,8424.0,292.0,672.0
25,1661422493820,8580.0,-120.0,564.0
26,1661422493820,8300.0,-276.0,428.0
27,1661422493820,8560.0,256.0,588.0
28,1661422493822,8572.0,-40.0,624.0
29,1661422493827,8536.0,216.0,608.0
30,1661422493827,8396.0,64.0,528.0
31,1661422493829,8764.0,-132.0,448.0
32,1661422493831,8108.0,4.0,548.0
33,1661422493836,8580.0,204.0,428.0
34,1661422493836,8516.0,-432.0,496.0
35,1661422493839,8444.0,216.0,464.0
36,1661422493841,8604.0,-36.0,560.0
37,1661422493843,8452.0,-116.0,576.0
38,1661422493846,8644.0,320.0,776.0
39,1661422493847,8328.0,-128.0,336.0
40,1661422493849,8608.0,-140.0,452.0
41,1661422493853,8308.0,36.0,656.0
42,1661422493854,8516.0,-320.0,300.0
43,1661422493856,8320.0,204.0,588.0
44,1661422493858,8352.0,28.0,628.0
45,1661422493860,8728.0,-228.0,572.0
46,1661422493862,8360.0,-72.0,520.0
47,1661422493866,8480.0,-36.0,464.0
48,1661422493867,8412.0,-116.0,620.0
49,1661422493869,8372.0,64.0,404.0
50,1661422493871,8328.0,-4.0,472.0
51,1661422493872,8544.0,-192.0,472.0
52,1661422493875,8516.0,40.0,480.0
53,1661422493879,8444.0,24.0,480.0
54,1661422493880,8420.0,-160.0,520.0
55,1661422493882,8516.0,248.0,464.0
56,1661422493884,8564.0,-168.0,388.0
57,1661422493887,8252.0,-36.0,444.0
58,1661422493889,8452.0,-124.0,496.0
59,1661422493892,8608.0,-152.0,444.0
60,1661422493892,8528.0,148.0,728.0
61,1661422493895,8664.0,76.0,488.0
62,1661422493898,8272.0,-336.0,516.0
63,1661422493902,8804.0,336.0,684.0
64,1661422493902,8228.0,-392.0,408.0
65,1661422493904,8364.0,4.0,480.0
66,1661422493906,8640.0,-44.0,468.0
67,1661422493909,8700.0,-184.0,460.0
68,1661422493911,8424.0,224.0,532.0
69,1661422493912,8612.0,-144.0,576.0
70,1661422493914,8480.0,112.0,364.0
71,1661422493918,8372.0,-32.0,460.0
72,1661422493920,8620.0,120.0,488.0
73,1661422493922,8608.0,-252.0,664.0
74,1661422493924,8308.0,92.0,604.0
75,1661422493927,8532.0,200.0,716.0
76,1661422493928,8248.0,-384.0,468.0
77,1661422493931,8684.0,224.0,544.0
78,1661422493933,8616.0,-144.0,336.0
79,1661422493935,8508.0,-24.0,360.0
80,1661422493937,8400.0,0.0,752.0
81,1661422493939,8752.0,-88.0,656.0
82,1661422493942,8392.0,-100.0,580.0
83,1661422493943,8588.0,-256.0,480.0
84,1661422493945,8760.0,64.0,612.0
85,1661422493947,8268.0,-312.0,504.0
86,1661422493950,8756.0,288.0,560.0
87,1661422493953,8400.0,-204.0,540.0
88,1661422493955,8408.0,136.0,504.0
89,1661422493957,8300.0,0.0,672.0
90,1661422493958,8568.0,-80.0,484.0
91,1661422493961,8712.0,20.0,540.0
92,1661422493963,8612.0,-64.0,476.0
93,1661422493967,8372.0,180.0,500.0
94,1661422493968,8424.0,92.0,752.0
95,1661422493970,8744.0,-248.0,528.0
96,1661422493972,7996.0,168.0,336.0
97,1661422493975,8376.0,-96.0,544.0
98,1661422493977,8532.0,-144.0,556.0
99,1661422493979,8428.0,312.0,296.0
100,1661422493981,8344.0,-116.0,456.0
101,1661422493983,8468.0,-240.0,548.0
102,1661422493985,8736.0,528.0,572.0
103,1661422493988,8300.0,-104.0,492.0
104,1661422493990,8388.0,-152.0,552.0
105,1661422493992,8472.0,144.0,732.0
106,1661422493994,8784.0,-212.0,468.0
107,1661422493996,8392.0,-60.0,400.0
108,1661422493999,8300.0,116.0,668.0
109,1661422494001,8700.0,-92.0,580.0
110,1661422494003,8664.0,156.0,620.0
111,1661422494005,8480.0,44.0,592.0
112,1661422494007,8312.0,-332.0,428.0
113,1661422494010,8344.0,-20.0,500.0
114,1661422494012,8372.0,-180.0,500.0
115,1661422494014,8472.0,-248.0,620.0
116,1661422494016,8640.0,308.0,452.0
117,1661422494019,8452.0,28.0,584.0
118,1661422494020,8660.0,-60.0,496.0
119,1661422494023,8688.0,320.0,412.0
120,1661422494025,8456.0,-348.0,328.0
121,1661422494027,8636.0,-8.0,472.0
122,1661422494031,8440.0,36.0,548.0
123,1661422494031,8496.0,-84.0,560.0
124,1661422494034,8572.0,104.0,616.0
125,1661422494036,8736.0,36.0,496.0
126,1661422494039,8324.0,-112.0,492.0
127,1661422494039,8492.0,156.0,592.0
128,1661422494044,8428.0,-228.0,356.0
129,1661422494045,8356.0,76.0,576.0
130,1661422494046,8516.0,-44.0,624.0
131,1661422494049,8472.0,-88.0,412.0
132,1661422494051,8356.0,-80.0,472.0
133,1661422494053,8516.0,-96.0,452.0
134,1661422494056,8544.0,272.0,440.0
135,1661422494058,8508.0,-40.0,584.0
136,1661422494060,8532.0,-20.0,508.0
137,1661422494062,8504.0,-124.0,460.0
138,1661422494064,8352.0,-128.0,476.0
139,1661422494067,8712.0,396.0,680.0
140,1661422494069,8188.0,-428.0,220.0
141,1661422494072,8752.0,356.0,700.0
142,1661422494073,8664.0,16.0,508.0
143,1661422494076,8336.0,-124.0,352.0
144,1661422494078,8420.0,76.0,612.0
145,1661422494080,8804.0,-348.0,604.0
146,1661422494081,8256.0,72.0,528.0
147,1661422494086,8716.0,48.0,632.0
148,1661422494086,8584.0,-36.0,600.0
