Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1665742777869,8152.0,36.0,672.0
1,1665742777869,8524.0,-24.0,572.0
2,1665742777869,8476.0,-56.0,764.0
3,1665742777869,8480.0,-52.0,804.0
4,1665742777869,8456.0,-88.0,832.0
5,1665742777869,8348.0,-188.0,488.0
6,1665742777870,8552.0,296.0,744.0
7,1665742777870,8424.0,-168.0,544.0
8,1665742777870,8476.0,36.0,692.0
9,1665742777872,8436.0,172.0,876.0
10,1665742777874,8532.0,-120.0,660.0
11,1665742777877,8416.0,64.0,676.0
12,1665742777878,8396.0,-56.0,724.0
13,1665742777887,8744.0,112.0,700.0
14,1665742777887,8308.0,252.0,724.0
15,1665742777887,8512.0,-212.0,732.0
16,1665742777887,8472.0,68.0,644.0
17,1665742777889,8312.0,184.0,588.0
18,1665742777896,8412.0,8.0,572.0
19,1665742777896,8592.0,-76.0,820.0
20,1665742777896,8440.0,256.0,872.0
21,1665742777900,8464.0,-220.0,700.0
22,1665742777900,8536.0,360.0,908.0
23,1665742777903,8220.0,-304.0,720.0
24,1665742777905,8700.0,172.0,680.0
25,1665742777907,8308.0,-12.0,680.0
26,1665742777910,8464.0,80.0,564.0
27,1665742777911,8544.0,-288.0,860.0
28,1665742777915,8500.0,-156.0,884.0
29,1665742777915,8396.0,-60.0,604.0
30,1665742777918,8492.0,-160.0,768.0
31,1665742777920,8660.0,532.0,832.0
32,1665742777924,8320.0,-88.0,612.0
33,1665742777924,8428.0,168.0,736.0
34,1665742777928,8388.0,192.0,736.0
35,1665742777929,8520.0,-332.0,632.0
36,1665742777931,8484.0,312.0,772.0
37,1665742777935,8380.0,-40.0,612.0
38,1665742777935,8464.0,-76.0,800.0
39,1665742777938,8600.0,56.0,664.0
40,1665742777940,8508.0,120.0,700.0
41,1665742777944,8268.0,-16.0,624.0
42,1665742777944,8612.0,104.0,800.0
43,1665742777949,8380.0,-268.0,864.0
44,1665742777949,8636.0,84.0,736.0
45,1665742777951,8472.0,-52.0,796.0
46,1665742777954,8532.0,-96.0,704.0
47,1665742777956,8536.0,-96.0,832.0
48,1665742777958,8652.0,224.0,776.0
49,1665742777960,8544.0,0.0,584.0
50,1665742777962,8532.0,-24.0,792.0
51,1665742777965,8604.0,76.0,876.0
52,1665742777966,8388.0,-76.0,904.0
53,1665742777969,8540.0,132.0,748.0
54,1665742777972,8672.0,124.0,848.0
55,1665742777972,8240.0,-140.0,604.0
56,1665742777976,8496.0,-24.0,760.0
57,1665742777978,8660.0,104.0,664.0
58,1665742777980,8332.0,-76.0,652.0
59,1665742777984,8428.0,188.0,804.0
60,1665742777984,8640.0,-40.0,608.0
61,1665742777987,8448.0,64.0,728.0
62,1665742777989,8472.0,36.0,892.0
63,1665742777991,8584.0,256.0,756.0
64,1665742777994,8148.0,36.0,812.0
65,1665742777996,8600.0,-116.0,676.0
66,1665742777999,8552.0,-152.0,724.0
67,1665742778001,8200.0,120.0,716.0
68,1665742778002,8440.0,-148.0,628.0
69,1665742778005,8400.0,24.0,700.0
70,1665742778008,8288.0,-44.0,732.0
71,1665742778008,8680.0,-140.0,672.0
72,1665742778010,8568.0,188.0,660.0
73,1665742778015,8408.0,56.0,656.0
74,1665742778015,8576.0,-16.0,764.0
75,1665742778018,8656.0,140.0,744.0
76,1665742778018,8296.0,-260.0,504.0
77,1665742778022,8724.0,220.0,724.0
78,1665742778024,8280.0,-80.0,704.0
79,1665742778026,8256.0,-88.0,632.0
80,1665742778028,8548.0,-124.0,684.0
81,1665742778031,8460.0,336.0,896.0
