"report-file-0"
"Iteration" "cd"
("Iteration" "cd")
1 0.7999999999999995
2 0.5350257013812137
3 0.3811210831404566
4 0.2946312380399147
5 0.2482818601799525
6 0.2207266003016351
7 0.203922357441623
8 0.1918385625564973
9 0.1833475923786134
10 0.1766310157054425
11 0.1712802726600108
12 0.1670043770271779
13 0.1634580368945753
14 0.1604299282323867
15 0.1578610483227459
16 0.1556550843108131
17 0.1537688545957707
18 0.1521133900150373
19 0.1506737404283711
20 0.14940112195163
21 0.1482801547525023
22 0.1472868476194722
23 0.1464044500460477
24 0.1456184621091488
25 0.1449176197641925
26 0.1442912460476258
27 0.1437306849314477
28 0.1432286968091658
29 0.1427783514924784
30 0.1423739584763949
31 0.1420101538475952
32 0.141682768866656
33 0.1413820555843625
34 0.141120407986506
35 0.14088134653481
36 0.1406653207177985
37 0.1404706915933342
38 0.1402952161312072
39 0.1401369686930191
40 0.1399942421890339
41 0.1398655148741331
42 0.1397494228998484
43 0.139644734059392
44 0.1395503439151293
45 0.1394652563659829
46 0.1393885713289287
47 0.1393195129090735
48 0.1392572439334566
49 0.1392011769106319
50 0.139150704155288
51 0.1391064257445555
52 0.1390636601821874
53 0.139027641417838
54 0.1389949800776352
55 0.138965098750255
56 0.1389384626633293
57 0.1389145702521788
58 0.1388931477830777
59 0.1388739508334785
60 0.1388567600681094
61 0.1388413741979677
62 0.1388276164446575
63 0.138815324189871
64 0.1388043510060851
65 0.1387945641761808
66 0.1387858440614096
67 0.1387780823954821
68 0.138771181552311
69 0.1387650531985419
70 0.1387596175738474
71 0.1387548027466132
72 0.1387505434658272
73 0.1387467808191473
74 0.1387434617486483
75 0.1387405571888651
76 0.1387379542064327
77 0.1387357305052377
78 0.1387337399007859
79 0.1387320119455725
80 0.1387305043147333
81 0.1387291901939251
82 0.1387280452782502
83 0.1387270537368086
84 0.1387261960227
85 0.1387254568360261
86 0.1387248233031582
87 0.1387242849204852
88 0.1387238275216112
89 0.1387234375679351
90 0.1387231043012971
91 0.1387228207415624
92 0.1387225814984237
93 0.1387223809462024
94 0.1387222129297208
95 0.1387220720163392
96 0.1387219563447735
97 0.1387218629542151
98 0.1387217760341274
99 0.1387217109541484
100 0.138721660802225
101 0.1387216181596606
102 0.1387215838617002
103 0.1387215558366399
104 0.1387215339068115
105 0.1387215166089615
106 0.1387215029438895
107 0.1387214922797297
108 0.1387214840649158
109 0.1387214777746702
110 0.1387214729838495
111 0.1387214693680254
112 0.1387214666662205
113 0.1387214646634687
114 0.1387214631886782
115 0.138721462110066
116 0.1387214613271301
117 0.1387214607625552
118 0.1387214603586887
119 0.1387214600722084
