Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1661422360328,72.0,-200.0,432.0
1,1661422360329,8600.0,-364.0,592.0
2,1661422360329,8604.0,532.0,488.0
3,1661422360329,8396.0,-88.0,432.0
4,1661422360329,8436.0,0.0,548.0
5,1661422360329,8524.0,200.0,696.0
6,1661422360329,8568.0,-352.0,308.0
7,1661422360329,8308.0,120.0,644.0
8,1661422360329,8616.0,-136.0,704.0
9,1661422360329,8552.0,-60.0,628.0
10,1661422360330,8244.0,164.0,552.0
11,1661422360330,8468.0,-32.0,468.0
12,1661422360333,8384.0,-112.0,500.0
13,1661422360333,8588.0,264.0,520.0
14,1661422360337,8384.0,-60.0,604.0
15,1661422360339,8528.0,-108.0,444.0
16,1661422360341,8548.0,16.0,576.0
17,1661422360344,8620.0,-260.0,452.0
18,1661422360344,8444.0,-104.0,568.0
19,1661422360347,8572.0,144.0,512.0
20,1661422360350,8680.0,-28.0,436.0
21,1661422360352,8436.0,36.0,712.0
22,1661422360356,8668.0,-44.0,668.0
23,1661422360356,8448.0,-272.0,388.0
24,1661422360358,8680.0,84.0,512.0
25,1661422360360,8496.0,-216.0,424.0
26,1661422360363,8476.0,128.0,560.0
27,1661422360365,8524.0,-176.0,516.0
28,1661422360366,8480.0,-36.0,532.0
29,1661422360369,8380.0,-44.0,520.0
30,1661422360372,8352.0,-76.0,552.0
31,1661422360374,8412.0,-96.0,520.0
32,1661422360377,8464.0,44.0,572.0
33,1661422360378,8676.0,-144.0,580.0
34,1661422360381,8472.0,92.0,520.0
35,1661422360383,8264.0,92.0,592.0
36,1661422360385,8508.0,-160.0,520.0
37,1661422360388,8452.0,-164.0,512.0
38,1661422360389,8332.0,4.0,372.0
39,1661422360391,8100.0,-276.0,276.0
40,1661422360393,8740.0,312.0,572.0
41,1661422360397,8412.0,-276.0,476.0
42,1661422360397,8560.0,-320.0,656.0
43,1661422360399,8500.0,284.0,580.0
44,1661422360403,8524.0,-72.0,396.0
45,1661422360405,8532.0,-96.0,428.0
46,1661422360407,8444.0,-108.0,620.0
47,1661422360409,8372.0,-32.0,624.0
48,1661422360411,8604.0,84.0,464.0
49,1661422360414,8524.0,-36.0,472.0
50,1661422360415,8588.0,52.0,628.0
51,1661422360418,8756.0,-256.0,560.0
52,1661422360420,8624.0,248.0,612.0
53,1661422360422,8496.0,-116.0,452.0
54,1661422360424,8496.0,-212.0,564.0
55,1661422360427,8460.0,76.0,744.0
56,1661422360429,8664.0,-92.0,492.0
57,1661422360430,8496.0,148.0,788.0
58,1661422360433,8372.0,-120.0,496.0
59,1661422360436,8820.0,44.0,516.0
60,1661422360437,8156.0,52.0,468.0
61,1661422360440,8684.0,312.0,660.0
62,1661422360442,8500.0,-252.0,680.0
63,1661422360444,8608.0,180.0,468.0
64,1661422360447,8368.0,-112.0,568.0
65,1661422360447,8664.0,20.0,700.0
66,1661422360451,8588.0,236.0,440.0
67,1661422360453,8308.0,-84.0,452.0
68,1661422360455,8516.0,-124.0,448.0
69,1661422360456,8048.0,264.0,492.0
70,1661422360459,8472.0,-76.0,364.0
71,1661422360461,8300.0,16.0,672.0
72,1661422360464,8704.0,4.0,564.0
73,1661422360466,8496.0,-268.0,468.0
74,1661422360469,8488.0,208.0,660.0
75,1661422360470,8640.0,8.0,624.0
76,1661422360473,8656.0,-288.0,448.0
77,1661422360475,8832.0,348.0,448.0
78,1661422360477,8352.0,-248.0,644.0
79,1661422360479,8440.0,64.0,420.0
80,1661422360483,8408.0,-208.0,452.0
81,1661422360485,8660.0,-28.0,324.0
82,1661422360486,8184.0,-136.0,572.0
83,1661422360489,8460.0,80.0,472.0
84,1661422360490,8748.0,100.0,520.0
85,1661422360492,8224.0,-168.0,560.0
86,1661422360494,8728.0,116.0,612.0
87,1661422360497,8420.0,-540.0,452.0
88,1661422360498,8520.0,108.0,500.0
89,1661422360501,8664.0,-44.0,472.0
90,1661422360502,8236.0,-252.0,528.0
91,1661422360505,8708.0,308.0,584.0
92,1661422360509,8464.0,-228.0,456.0
93,1661422360510,8332.0,196.0,704.0
94,1661422360511,8480.0,-24.0,596.0
95,1661422360516,8668.0,-176.0,504.0
96,1661422360516,8420.0,204.0,540.0
97,1661422360519,8560.0,-124.0,568.0
98,1661422360521,8316.0,28.0,488.0
99,1661422360523,8220.0,84.0,364.0
100,1661422360525,8632.0,-164.0,600.0
101,1661422360528,8596.0,-72.0,544.0
102,1661422360529,8508.0,196.0,444.0
103,1661422360532,8564.0,-280.0,436.0
104,1661422360534,8392.0,-88.0,620.0
105,1661422360536,8500.0,52.0,464.0
106,1661422360538,8664.0,-332.0,420.0
107,1661422360541,8248.0,236.0,544.0
108,1661422360543,8588.0,36.0,672.0
109,1661422360545,8520.0,-260.0,500.0
110,1661422360546,8264.0,60.0,580.0
111,1661422360548,8552.0,-332.0,336.0
112,1661422360551,8684.0,36.0,588.0
113,1661422360554,8188.0,-4.0,524.0
114,1661422360556,8516.0,12.0,676.0
115,1661422360557,8660.0,-264.0,568.0
116,1661422360560,8500.0,328.0,476.0
117,1661422360562,8288.0,-104.0,572.0
118,1661422360566,8372.0,-120.0,332.0
119,1661422360567,8684.0,76.0,740.0
120,1661422360568,8564.0,-148.0,460.0
121,1661422360571,8384.0,184.0,484.0
122,1661422360574,8336.0,-16.0,652.0
123,1661422360576,8608.0,-184.0,532.0
124,1661422360578,8332.0,288.0,508.0
125,1661422360580,8488.0,-108.0,452.0
126,1661422360582,8440.0,-116.0,636.0
127,1661422360585,8432.0,208.0,420.0
128,1661422360588,8340.0,-180.0,532.0
129,1661422360589,8472.0,-208.0,692.0
130,1661422360591,8708.0,232.0,540.0
131,1661422360593,8364.0,-76.0,456.0
132,1661422360596,8476.0,72.0,564.0
133,1661422360596,8532.0,20.0,600.0
134,1661422360600,8792.0,36.0,424.0
135,1661422360602,8356.0,-208.0,432.0
136,1661422360604,8528.0,264.0,584.0
137,1661422360606,8628.0,-420.0,512.0
138,1661422360609,8256.0,8.0,712.0
139,1661422360611,8604.0,328.0,564.0
140,1661422360613,8244.0,-288.0,372.0
141,1661422360614,8292.0,124.0,628.0
142,1661422360618,8468.0,-4.0,612.0
143,1661422360619,8452.0,-228.0,416.0
144,1661422360622,8488.0,220.0,640.0
