0	-0.00435104	0.00736589	0
1	-0.00258773	0.00419986	0
2	-0.0176714	0.0279277	0
3	-0.0563404	0.0867404	0
4	-0.119898	0.178129	0.0323281
5	-0.197884	0.281497	0.0716591
6	-0.287553	0.391284	0.117176
7	-0.379253	0.491317	0.167937
8	-0.461811	0.564952	0.222892
9	-0.528489	0.604878	0.267351
10	-0.587543	0.629814	0.293109
11	-0.641605	0.64605	0.315915
12	-0.691266	0.655516	0.336196
13	-0.737061	0.659679	0.354317
14	-0.779447	0.659655	0.37058
15	-0.81869	0.656261	0.385171
16	-0.855364	0.650219	0.398426
17	-0.889763	0.642024	0.410527
18	-0.922274	0.632089	0.421698
19	-0.952738	0.620613	0.431875
20	-0.981228	0.607777	0.441118
21	-1.0072	0.593634	0.449159
22	-1.03142	0.57844	0.456418
23	-1.05416	0.562323	0.463043
24	-1.07448	0.545219	0.468555
25	-1.09444	0.527489	0.474037
26	-1.11233	0.509142	0.478611
27	-1.13086	0.490298	0.483678
28	-1.14756	0.470934	0.487976
29	-1.16564	0.451088	0.493169
30	-1.18381	0.430712	0.498591
31	-1.20068	0.409694	0.503537
32	-1.21914	0.388008	0.509521
33	-1.24072	0.365541	0.517341
34	-1.26461	0.342175	0.526613
35	-1.29069	0.317704	0.537293
36	-1.31811	0.292099	0.54897
37	-1.34589	0.265366	0.561154
38	-1.37374	0.237509	0.573701
39	-1.40133	0.208565	0.58646
40	-1.42834	0.178596	0.599275
41	-1.45446	0.147692	0.61199
42	-1.47939	0.115963	0.624455
43	-1.50287	0.0835435	0.636521
44	-1.52463	0.0505828	0.648043
45	-1.54445	0.0172372	0.658902
46	-1.56218	-0.0163346	0.668994
47	-1.5777	-0.0499758	0.678239
48	-1.59091	-0.0835368	0.686574
49	-1.60178	-0.11688	0.693962
50	-1.61033	-0.149886	0.700386
51	-1.6166	-0.182452	0.705855
52	-1.62068	-0.214501	0.710398
53	-1.6227	-0.245981	0.714066
54	-1.6228	-0.276865	0.716929
55	-1.62116	-0.307153	0.719074
56	-1.61798	-0.33687	0.720601
57	-1.61346	-0.366066	0.721624
58	-1.60782	-0.394811	0.722261
59	-1.60126	-0.423196	0.722636
60	-1.594	-0.451324	0.722873
61	-1.58622	-0.479309	0.723094
62	-1.57809	-0.507273	0.723414
63	-1.56976	-0.535335	0.723938
64	-1.56136	-0.563614	0.72476
65	-1.55299	-0.592216	0.725958
66	-1.54469	-0.621239	0.727595
67	-1.53652	-0.65076	0.729716
68	-1.52846	-0.680836	0.732345
69	-1.5205	-0.711502	0.735489
70	-1.51257	-0.742765	0.739135
71	-1.50461	-0.774608	0.743255
72	-1.49652	-0.806985	0.747801
73	-1.4882	-0.839827	0.752712
74	-1.47951	-0.873039	0.757914
75	-1.47035	-0.906503	0.763324
76	-1.46059	-0.940086	0.768851
77	-1.45011	-0.973637	0.7744
78	-1.43882	-1.007	0.779874
79	-1.42661	-1.04	0.785179
80	-1.41341	-1.07249	0.790222
81	-1.39915	-1.10429	0.794921
82	-1.38381	-1.13526	0.7992
83	-1.36735	-1.16527	0.802998
84	-1.3498	-1.19423	0.806292
85	-1.33118	-1.22207	0.809049
86	-1.31152	-1.2487	0.811243
87	-1.29087	-1.27407	0.812863
88	-1.26927	-1.29814	0.81391
89	-1.24681	-1.3209	0.814395
90	-1.22354	-1.34233	0.814326
91	-1.19953	-1.36248	0.81374
92	-1.17489	-1.38139	0.812689
93	-1.14969	-1.39917	0.811235
94	-1.12402	-1.41589	0.809442
95	-1.09796	-1.43168	0.807381
96	-1.07158	-1.44665	0.805122
97	-1.04494	-1.46091	0.802737
98	-1.0181	-1.47457	0.800291
99	-0.991095	-1.48775	0.797847
100	-0.963965	-1.50053	0.79546
101	-0.936729	-1.51301	0.793175
102	-0.909401	-1.52524	0.791029
103	-0.881984	-1.53729	0.789048
104	-0.854478	-1.54916	0.787244
105	-0.826875	-1.56087	0.785622
106	-0.799165	-1.57241	0.784173
107	-0.771336	-1.58374	0.782876
108	-0.743378	-1.59481	0.781703
109	-0.715282	-1.60553	0.780617
110	-0.687043	-1.61585	0.779572
111	-0.658662	-1.62565	0.778519
112	-0.630145	-1.63484	0.777404
113	-0.601506	-1.64331	0.776173
114	-0.572764	-1.65096	0.774769
115	-0.543949	-1.6577	0.77314
116	-0.515092	-1.66343	0.771239
117	-0.486232	-1.66807	0.769021
118	-0.457413	-1.67156	0.766451
119	-0.428681	-1.67386	0.7635
120	-0.400083	-1.67493	0.76015
121	-0.371667	-1.67475	0.756392
122	-0.343477	-1.67335	0.752227
123	-0.315555	-1.67075	0.747663
124	-0.28794	-1.66698	0.742722
125	-0.260662	-1.66213	0.737432
126	-0.233746	-1.65625	0.731829
127	-0.207206	-1.64946	0.725964
128	-0.181043	-1.64188	0.719897
129	-0.155263	-1.6336	0.713674
130	-0.12986	-1.62472	0.707346
131	-0.104824	-1.61533	0.70096
132	-0.0801427	-1.60554	0.694563
133	-0.0557957	-1.59543	0.688201
134	-0.0317619	-1.58507	0.681913
135	-0.0080197	-1.57454	0.675732
136	0.0154497	-1.56387	0.66968
137	0.0386658	-1.55312	0.663777
138	0.0616441	-1.54229	0.658036
139	0.0843948	-1.5314	0.652458
140	0.106921	-1.52045	0.647038
141	0.129218	-1.5094	0.641758
142	0.151271	-1.49822	0.636594
143	0.173058	-1.48685	0.631513
144	0.194546	-1.47525	0.626477
145	0.215693	-1.46333	0.621439
146	0.23645	-1.45103	0.616351
147	0.256759	-1.43828	0.611162
148	0.276557	-1.42499	0.60582
149	0.295778	-1.41111	0.600274
