0	-0.00683011	0.0117622	0.00413721
1	-0.0036536	0.0066892	0
2	-0.00483488	0.00844357	0
3	-0.009591	0.0157016	0
4	-0.015628	0.0232517	0
5	-0.0314541	0.045573	0
6	-0.0555988	0.0784702	0
7	-0.0895711	0.12313	0
8	-0.133179	0.17793	0
9	-0.184826	0.239463	0.0132718
10	-0.237252	0.297092	0.0415116
11	-0.287497	0.347068	0.0716929
12	-0.334026	0.387965	0.100153
13	-0.375817	0.419253	0.12972
14	-0.412359	0.441165	0.156753
15	-0.443543	0.454443	0.18417
16	-0.469727	0.46035	0.205181
17	-0.493318	0.462678	0.212534
18	-0.515325	0.462938	0.219078
19	-0.535985	0.461487	0.224952
20	-0.555556	0.458635	0.2303
21	-0.574308	0.454652	0.235267
22	-0.592524	0.449767	0.239995
23	-0.610498	0.444171	0.244632
24	-0.628539	0.438025	0.249325
25	-0.646903	0.431431	0.254197
26	-0.665808	0.424452	0.259355
27	-0.685387	0.417081	0.264864
28	-0.705757	0.409294	0.270785
29	-0.726998	0.401039	0.277166
30	-0.749134	0.39224	0.28403
31	-0.772134	0.382798	0.29138
32	-0.795908	0.372604	0.299195
33	-0.820318	0.361547	0.307435
34	-0.845182	0.349523	0.316042
35	-0.870285	0.33644	0.324943
36	-0.895385	0.32223	0.334055
37	-0.920261	0.306861	0.343294
38	-0.944695	0.290363	0.352567
39	-0.968601	0.272792	0.361835
40	-0.991932	0.25423	0.371072
41	-1.01463	0.234776	0.380238
42	-1.03659	0.214507	0.389276
43	-1.0576	0.193494	0.398094
44	-1.07753	0.171813	0.406625
45	-1.09631	0.149537	0.41483
46	-1.11382	0.126753	0.422653
47	-1.12998	0.10355	0.430049
48	-1.14473	0.0800176	0.436981
49	-1.158	0.0562485	0.44341
50	-1.16975	0.0323356	0.449302
51	-1.18002	0.00834624	0.454673
52	-1.18873	-0.0156041	0.459466
53	-1.19595	-0.0394745	0.463719
54	-1.20169	-0.0631739	0.467409
55	-1.20601	-0.0866645	0.47057
56	-1.20911	-0.109972	0.473302
57	-1.21098	-0.133032	0.475586
58	-1.21179	-0.15587	0.47751
59	-1.2115	-0.178423	0.479048
60	-1.21028	-0.200723	0.480283
61	-1.20836	-0.222863	0.481342
62	-1.20589	-0.244905	0.482312
